zona|ID
C-1.1.1|2
C-1.1.2|3
C-1.1.3|4
C-1.1.4|5
C-1.1.6|6
C-1.1.7|7
C-1.1.8|8
C-1.1.9|9
C-1.2.1|10
C-1.2.2|11
C-1.2.3|12
C-1.2.4|13
C-1.2.5|14
C-1.2.6|15
C-1.2.7|16
C-1.2.8|17
C-1.3.1|18
C-1.3.10|19
C-1.3.11|20
C-1.3.12|21
C-1.3.13|22
C-1.3.14|23
C-1.3.15|24
C-1.3.16|25
C-1.3.17|26
C-1.3.18|27
C-1.3.19|28
C-1.3.2|29
C-1.3.20|30
C-1.3.3|31
C-1.3.4|32
C-1.3.5|33
C-1.3.6|34
C-1.3.7|35
C-1.3.8|36
C-1.3.9|37
C-1.5.5|38
C-2.1.1|39
C-2.1.10|40
C-2.1.11|41
C-2.1.12|42
C-2.1.13|43
C-2.1.14|44
C-2.1.15|45
C-2.1.16|46
C-2.1.17|47
C-2.1.18|48
C-2.1.2|49
C-2.1.3|50
C-2.1.4|51
C-2.1.5|52
C-2.1.6|53
C-2.1.7|54
C-2.1.8|55
C-2.1.9|56
C-2.2.1|57
C-2.2.10|58
C-2.2.11|59
C-2.2.12|60
C-2.2.13|61
C-2.2.14|62
C-2.2.15|63
C-2.2.16|64
C-2.2.17|65
C-2.2.18|66
C-2.2.2|67
C-2.2.3|68
C-2.2.4|69
C-2.2.5|70
C-2.2.6|71
C-2.2.7|72
C-2.2.8|73
C-2.2.9|74
C-2.3.1|75
C-2.3.2|76
C-2.3.3|77
C-2.3.4|78
C-2.3.5|79
C-2.4.1|80
C-2.4.10|81
C-2.4.11|82
C-2.4.12|83
C-2.4.13|84
C-2.4.14|85
C-2.4.15|86
C-2.4.2|87
C-2.4.3|88
C-2.4.4|89
C-2.4.5|90
C-2.4.6|91
C-2.4.7|92
C-2.4.8|93
C-2.4.9|94
C-2.5.1|95
C-2.5.10|96
C-2.5.11|97
C-2.5.12|98
C-2.5.2|99
C-2.5.3|100
C-2.5.4|101
C-2.5.5|102
C-2.5.6|103
C-2.5.7|104
C-2.5.8|105
C-2.5.9|106
N-1.1.1|107
N-1.1.10|108
N-1.1.11|109
N-1.1.12|110
N-1.1.13|111
N-1.1.14|112
N-1.1.15|113
N-1.1.16|114
N-1.1.17|115
N-1.1.18|116
N-1.1.19|117
N-1.1.2|118
N-1.1.20|119
N-1.1.21|120
N-1.1.3|121
N-1.1.4|122
N-1.1.5|123
N-1.1.6|124
N-1.1.7|125
N-1.1.8|126
N-1.1.9|127
N-1.2.1|128
N-1.2.10|129
N-1.2.11|130
N-1.2.12|131
N-1.2.13|132
N-1.2.14|133
N-1.2.15|134
N-1.2.16|135
N-1.2.17|136
N-1.2.2|137
N-1.2.3|138
N-1.2.4|139
N-1.2.5|140
N-1.2.6|141
N-1.2.7|142
N-1.2.8|143
N-1.2.9|144
N-1.3.1|145
N-1.3.10|146
N-1.3.11|147
N-1.3.12|148
N-1.3.13|149
N-1.3.2|150
N-1.3.3|151
N-1.3.4|152
N-1.3.5|153
N-1.3.6|154
N-1.3.7|155
N-1.3.8|156
N-1.3.9|157
N-1.4.1|158
N-1.4.2|159
N-1.4.3|160
N-1.4.4|161
N-1.4.5|162
N-1.4.6|163
N-1.4.7|164
N-1.4.8|165
N-1.4.9|166
N-2.1.1|167
N-2.1.2|168
N-2.1.3|169
N-2.1.4|170
N-2.1.5|171
N-2.1.6|172
N-2.1.7|173
N-2.1.8|174
N-2.1.9|175
